annual_income,debt_to_income_ratio,credit_utilization,late_payments,credit_history_years,loan_amount,interest_rate,employment_years,default
70482.61,0.161,0.42,0,23.3,10003.11,7.68,3.2,0
123653.64,0.155,0.01,0,10.2,29900.62,8.03,15.8,0
29747.52,0.192,0.438,0,7.2,5522.45,6.6,1.8,0
51012.68,0.29,0.741,3,6.0,14220.53,11.67,4.4,1
138333.43,0.046,0.01,1,14.7,44708.11,6.19,3.0,0
86430.83,0.116,0.223,0,13.6,25130.84,6.11,2.6,0
134743.57,0.245,0.295,1,6.0,27650.06,10.84,5.1,0
33571.02,0.128,0.434,0,10.9,11775.67,7.58,1.6,0
30295.37,0.115,0.612,0,11.2,10561.45,7.82,9.6,0
112780.59,0.355,0.369,0,21.3,42854.15,6.16,8.6,0
89513.68,0.244,0.831,0,6.2,24650.21,13.08,17.5,0
54723.92,0.321,0.357,1,13.5,19223.07,9.39,7.2,0
81543.13,0.357,0.567,0,13.4,38726.65,7.06,5.9,0
81194.58,0.474,0.236,0,13.8,18261.46,6.91,4.8,0
42693.72,0.168,0.36,0,8.1,9046.41,8.09,15.4,0
55573.55,0.286,0.01,0,15.8,19306.93,4.99,12.8,0
70216.0,0.451,0.345,0,21.0,33075.45,9.02,3.9,0
122350.71,0.343,0.021,0,5.9,24769.69,3.5,6.2,0
33760.66,0.212,0.927,0,9.9,15315.0,11.0,9.3,0
62332.38,0.311,0.504,0,3.7,11843.61,6.63,8.1,0
62293.19,0.387,0.44,0,13.6,13449.88,9.61,5.4,0
92672.97,0.309,0.076,0,9.3,42147.55,7.87,2.3,0
55685.84,0.291,0.746,1,10.0,13080.56,10.72,1.7,1
53635.35,0.264,0.414,0,6.3,19162.72,6.95,7.0,1
132601.94,0.353,0.664,0,11.5,34003.03,10.26,2.8,0
55534.56,0.361,0.396,0,26.4,9076.64,9.24,4.7,0
54278.71,0.363,0.37,1,10.3,5496.61,8.34,12.5,0
29877.86,0.204,0.533,2,13.0,10498.58,8.53,1.6,0
45192.45,0.391,0.246,0,11.4,21426.26,8.36,18.7,0
81311.94,0.171,0.423,0,34.4,8120.11,7.31,5.1,0
56302.17,0.232,0.807,0,4.0,24364.36,10.51,3.5,1
96766.64,0.195,0.432,0,10.4,14234.18,9.85,2.9,0
96152.75,0.124,0.316,0,22.4,39442.74,5.86,14.3,0
210990.7,0.28,0.234,0,7.6,52271.08,3.8,9.2,0
43033.49,0.349,0.397,1,9.3,9946.16,8.15,3.1,0
26089.91,0.373,0.691,0,2.8,4195.18,10.05,5.9,1
41824.15,0.139,0.282,0,5.3,8895.66,5.04,1.6,0
55488.73,0.177,0.107,0,16.0,22809.67,6.31,6.2,0
48606.04,0.147,0.268,0,9.0,10646.41,4.83,1.4,0
64095.24,0.25,0.345,2,3.9,10365.26,9.21,3.0,0
110152.02,0.204,0.591,1,4.2,52672.74,5.62,7.5,0
130534.74,0.211,0.843,1,12.6,22785.82,10.78,3.4,1
96356.74,0.373,0.213,0,10.4,31647.61,6.77,2.1,0
183125.66,0.298,0.489,0,11.2,45187.03,9.7,9.5,0
56248.47,0.3,0.737,2,5.6,8607.94,13.42,2.7,1
29991.33,0.223,0.343,0,12.1,5877.81,6.17,15.7,0
