threshold,accuracy,precision,recall,f1,false_positives,false_negatives,cost
0.1,0.69125,0.3536688220410458,0.8803358992302309,0.5046129161652627,2299,171,3154
0.11,0.7085,0.36677485984066094,0.8698390482855144,0.5159817351598174,2146,186,3076
0.12,0.724,0.3791498603785293,0.8551434569629112,0.5253654342218401,2001,207,3036
0.13,0.73775,0.3913608314387788,0.8432470258922323,0.5346051464063887,1874,224,2994
0.14,0.7495,0.40250932519498134,0.8306508047585724,0.5422567382366378,1762,242,2972
0.15,0.76175,0.41557522123893803,0.821553533939818,0.5519511048425012,1651,255,2926
0.16,0.772125,0.42709104367135453,0.8075577326801959,0.5587024933430162,1548,275,2923
0.17,0.781625,0.4380358534684334,0.7865640307907628,0.56270337922403,1442,305,2967
0.18,0.7895,0.44852644327815905,0.7774667599720084,0.568868407578085,1366,318,2956
0.19,0.7975,0.4600251151109251,0.7690692792162351,0.5756940806705081,1290,330,2940
0.2,0.80525,0.4719198955158903,0.7585724282715185,0.581857219538379,1213,345,2938
0.21,0.810875,0.48111510791366907,0.7487753673897831,0.5858198740761018,1154,359,2949
0.22,0.8175,0.4927468413664015,0.7368789363191043,0.5905776780706674,1084,376,2964
0.23,0.822875,0.5029013539651838,0.72778166550035,0.5947955390334573,1028,389,2973
0.24,0.8275,0.5122438780609695,0.7172848145556333,0.597667638483965,976,404,2996
0.25,0.830625,0.5190525231719877,0.7053883834849545,0.5980421239988134,934,421,3039
0.26,0.835125,0.5292553191489362,0.6962911126662001,0.6013901480809912,885,434,3055
0.27,0.83825,0.5370675453047776,0.6843946815955213,0.6018461538461538,843,451,3098
0.28,0.841125,0.5448863636363637,0.6710986703988804,0.601442458450925,801,470,3151
0.29,0.8435,0.551967116852613,0.6578026592022393,0.6002554278416348,763,489,3208
0.3,0.846,0.5594447797223898,0.6487053883834849,0.6007777057679844,730,502,3240
0.31,0.848875,0.5691823899371069,0.6333100069979006,0.5995362702881749,685,524,3305
0.32,0.851,0.5766990291262136,0.6235129461161651,0.5991930060524546,654,538,3344
0.33,0.852,0.5815036593479708,0.6116165150454863,0.5961800818553888,629,555,3404
0.34,0.855125,0.5929752066115702,0.602519244226732,0.597709128774731,591,568,3431
0.35,0.856875,0.6012838801711841,0.5899230230930721,0.5955492758742493,559,586,3489
0.36,0.859,0.6115641215715345,0.5773268019594122,0.593952483801296,524,604,3544
0.37,0.86325,0.6287471176018448,0.5724282715185445,0.5992673992673992,483,611,3538
0.38,0.865625,0.6409235668789809,0.56333100069979,0.5996275605214153,451,624,3571
0.39,0.86675,0.6481632653061224,0.5556333100069979,0.5983421250941975,431,635,3606
0.4,0.867125,0.6545608108108109,0.5423372988103569,0.5931879066207424,409,654,3679
0.41,0.867875,0.6614583333333334,0.5332400279916025,0.5904688105385509,390,667,3725
0.42,0.86975,0.673542600896861,0.5255423372988104,0.5904088050314465,364,678,3754
0.43,0.8715,0.6854764107308048,0.5185444366689993,0.5904382470119522,340,688,3780
0.44,0.871375,0.6901140684410646,0.5080475857242828,0.585247883917775,326,703,3841
0.45,0.87275,0.7004878048780487,0.5024492652204339,0.5851670741646292,307,711,3862
0.46,0.872375,0.7035928143712575,0.4933519944016795,0.5800082270670506,297,724,3917
0.47,0.8725,0.710174717368962,0.483554933519944,0.575353871773522,282,738,3972
0.48,0.87225,0.7176470588235294,0.4695591322603219,0.5676818950930627,264,758,4054
0.49,0.872125,0.7216157205240175,0.4625612316305108,0.5637526652452025,255,768,4095
0.5,0.87175,0.727683615819209,0.45066480055983205,0.5566119273984442,241,785,4166
0.51,0.871,0.7289504036908881,0.44226731980405876,0.5505226480836237,235,797,4220
0.52,0.871625,0.7392857142857143,0.4345696291112666,0.5473776994270604,219,808,4259
0.53,0.870125,0.7413366336633663,0.4191742477256823,0.5355386678587394,209,830,4359
0.54,0.87025,0.7503201024327785,0.4100769769069279,0.530316742081448,195,843,4410
0.55,0.8705,0.7595772787318362,0.40237928621413577,0.526075022872827,182,854,4452
0.56,0.870375,0.7670299727520435,0.3939818054583625,0.5205732778548312,171,866,4501
0.57,0.870125,0.7785714285714286,0.3813855843247026,0.5119774542038515,155,884,4575
0.58,0.8695,0.7851851851851852,0.370888733379986,0.5038022813688213,145,899,4640
0.59,0.869,0.7926267281105991,0.3610916724982505,0.49615384615384617,135,913,4700
0.6,0.869,0.8028616852146264,0.35339398180545833,0.49076773566569487,124,924,4744
0.61,0.867875,0.8049180327868852,0.3435969209237229,0.48160863168219714,119,938,4809
0.62,0.866375,0.8050847457627118,0.33240027991602517,0.47052996532937097,115,954,4885
0.63,0.866,0.8137082601054482,0.32400279916025193,0.46346346346346345,106,966,4936
0.64,0.865875,0.8236363636363636,0.3170048985304409,0.4578069732187974,97,976,4977
0.65,0.86525,0.8280373831775701,0.3100069979006298,0.4511201629327902,92,986,5022
0.66,0.86525,0.838150289017341,0.30440867739678096,0.446611909650924,84,994,5054
0.67,0.864875,0.8452380952380952,0.298110566829951,0.44076564924987066,78,1003,5093
0.68,0.86375,0.845213849287169,0.2904128761371588,0.4322916666666667,76,1014,5146
0.69,0.86275,0.848421052631579,0.2820153953813856,0.42331932773109243,72,1026,5202
0.7,0.860625,0.8488888888888889,0.26731980405878236,0.4065992549228313,68,1047,5303
0.71,0.858375,0.8490566037735849,0.25192442267319803,0.38855909336211547,64,1069,5409
0.72,0.85775,0.8506024096385543,0.2470258922323303,0.38286334056399135,62,1076,5442
0.73,0.857,0.8625954198473282,0.23722883135059483,0.3721185510428101,54,1090,5504
0.74,0.855125,0.8629032258064516,0.22463261021693492,0.3564686285397002,51,1108,5591
0.75,0.854625,0.882183908045977,0.21483554933519944,0.345526167698368,41,1122,5651
0.76,0.853375,0.8855421686746988,0.20573827851644508,0.3339011925042589,38,1135,5713
0.77,0.852375,0.8875,0.198740377886634,0.324757004002287,36,1145,5761
0.78,0.852,0.8964401294498382,0.19384184744576627,0.3187571921749137,32,1152,5792
0.79,0.851,0.9044368600682594,0.185444366689993,0.3077816492450639,28,1164,5848
0.8,0.84975,0.9097472924187726,0.17634709587123862,0.2954279015240328,25,1177,5910
