model,feature,importance_mean,importance_std
Logistic regression,late_payments,0.07489442520769721,0.004482384730025898
Logistic regression,credit_utilization,0.05248205185908812,0.005914415337655308
Logistic regression,credit_history_years,0.0365311797269121,0.004085232635133414
Logistic regression,annual_income,0.031354818251098336,0.004991989407977544
Logistic regression,debt_to_income_ratio,0.01878967046343797,0.0035774684089532344
Logistic regression,loan_amount,0.016669820697603456,0.004241021990075364
Logistic regression,employment_years,0.003293149274317153,0.0014991335474623326
Logistic regression,interest_rate,0.0018071744826963498,0.0015400404029250264
Random forest,late_payments,0.0716041742320788,0.005412357013477181
Random forest,credit_utilization,0.03595356584508423,0.006372022117627415
Random forest,credit_history_years,0.030709009105772612,0.0032300215383794986
Random forest,debt_to_income_ratio,0.020274451837947648,0.00331950182110391
Random forest,interest_rate,0.012924536826294774,0.005234070520124928
Random forest,annual_income,0.00886743011264154,0.002603897612751967
Random forest,loan_amount,0.0058127937724086086,0.002020082854789144
Random forest,employment_years,0.0005776138818278876,0.0014469374929635985
