threshold,accuracy,precision,recall,f1,false_positives,false_negatives,cost
0.1,0.453,0.2415365725311349,0.9636109167249826,0.38625525946704065,4324,52,4584
0.11,0.477,0.2492262880029128,0.9580125962211337,0.3955504189540595,4124,60,4424
0.12,0.4965,0.25587074957730604,0.9531140657802659,0.403436018957346,3961,67,4296
0.13,0.514,0.26195546950629234,0.946815955213436,0.4103730664240218,3812,76,4192
0.14,0.53225,0.2690233672857999,0.9426172148355494,0.4185829707893101,3660,82,4070
0.15,0.54925,0.27542809985558075,0.9342197340797761,0.4254302103250478,3512,94,3982
0.16,0.567375,0.2835534725181082,0.9314205738278516,0.4347542054548424,3363,98,3853
0.17,0.58075,0.2895254756177564,0.9265220433869839,0.44118627124291904,3249,105,3774
0.18,0.595125,0.29589535408209294,0.9181245626312107,0.44755244755244755,3122,117,3707
0.19,0.60925,0.3029951242163919,0.9132260321903429,0.45502092050209203,3002,124,3622
0.2,0.626,0.31173211274391716,0.9055283414975507,0.4637992831541219,2857,135,3532
0.21,0.641375,0.3208063713290194,0.9020293911826452,0.4732880484670461,2729,140,3429
0.22,0.654125,0.3280205655526992,0.8929321203638908,0.4797894341041549,2614,153,3379
0.23,0.666875,0.3359872611464968,0.8859342197340798,0.48720415624398694,2502,163,3317
0.24,0.67775,0.34316134316134317,0.8796361091672499,0.49371563236449334,2406,172,3266
0.25,0.6865,0.34900643716764623,0.8726382085374388,0.4986005597760896,2326,182,3236
0.26,0.695125,0.35513482501434307,0.8663400979706088,0.503763987792472,2248,191,3203
0.27,0.703,0.3606123049749779,0.8572428271518544,0.5076668048072939,2172,204,3192
0.28,0.713375,0.368693009118541,0.8488453463960812,0.5140919686374232,2077,216,3157
0.29,0.720875,0.37484433374844334,0.8425472358292512,0.5188536953242836,2008,225,3133
0.3,0.727875,0.38028169014084506,0.8313505948215535,0.5218537228201185,1936,241,3141
0.31,0.73575,0.38744659875123233,0.8250524842547236,0.5272808586762076,1864,250,3114
0.32,0.744125,0.3953960731211916,0.8173547935619314,0.5329682865617157,1786,261,3091
0.33,0.752625,0.4041143654114365,0.8110566829951015,0.5394461252036304,1709,270,3059
0.34,0.759625,0.411214953271028,0.8005598320503848,0.5433388743766326,1638,285,3063
0.35,0.768,0.4210136884942656,0.7963610916724982,0.5508228460793805,1565,291,3020
0.36,0.774875,0.4291158536585366,0.787963610916725,0.5556377991611152,1498,303,3013
0.37,0.78,0.4352250489236791,0.7781665500349895,0.5582329317269076,1443,317,3028
0.38,0.787125,0.4446688206785137,0.7704688593421973,0.5638924455825864,1375,328,3015
0.39,0.793125,0.45287739783152625,0.7599720083974808,0.5675463809772668,1312,343,3027
0.4,0.79825,0.46048697137975225,0.7543736878936319,0.5718832891246685,1263,351,3018
0.41,0.80275,0.4673674989049496,0.7466759972008398,0.5748922413793104,1216,362,3026
0.42,0.8065,0.4731134206958879,0.7326801959412176,0.5749588138385503,1166,382,3076
0.43,0.811125,0.4808411214953271,0.7200839748075577,0.5766321098346876,1111,400,3111
0.44,0.81625,0.49016786570743404,0.71518544436669,0.5816733067729084,1063,407,3098
0.45,0.821625,0.5004945598417408,0.708187543736879,0.5864966676325702,1010,417,3095
0.46,0.823625,0.504582484725051,0.6934919524142757,0.5841438255231358,973,438,3163
0.47,0.826,0.5096706743335075,0.6822953114065781,0.5834829443447038,938,454,3208
0.48,0.829375,0.517259978425027,0.6710986703988804,0.5842217484008528,895,470,3245
0.49,0.83325,0.5264035575319622,0.6627011896431071,0.5867410161090458,852,482,3262
0.5,0.835875,0.533410138248848,0.6480055983205039,0.5851500789889416,810,503,3325
0.51,0.83775,0.5389185977421271,0.6347095871238628,0.5829048843187661,776,522,3386
0.52,0.8395,0.5443968156766688,0.622113365990203,0.5806662312214239,744,540,3444
0.53,0.84275,0.5541481950601647,0.6123163051084675,0.581781914893617,704,554,3474
0.54,0.844125,0.5593994778067886,0.5997200839748076,0.5788584937521107,675,572,3535
0.55,0.846125,0.5671641791044776,0.5850244926522044,0.5759559076817086,638,593,3603
0.56,0.8485,0.5765702187720536,0.5717284814555633,0.5741391426563598,600,612,3660
0.57,0.8515,0.5886681383370125,0.5598320503848845,0.5738880918220947,559,629,3704
0.58,0.853125,0.5970948012232415,0.5465360391882436,0.5706978443551334,527,648,3767
0.59,0.853875,0.6023622047244095,0.5353393981805459,0.5668766209707299,505,664,3825
0.6,0.855,0.6094385679414158,0.5241427571728482,0.563581640331076,480,680,3880
0.61,0.856875,0.621160409556314,0.509447165850245,0.5597846981930027,444,701,3949
0.62,0.858875,0.6336898395721925,0.49755073477956613,0.5574284594276754,411,718,4001
0.63,0.858625,0.636697247706422,0.48565430370888735,0.5510123064708218,396,735,4071
0.64,0.859625,0.6468330134357005,0.4716585024492652,0.5455281262646702,368,755,4143
0.65,0.861125,0.6583665338645418,0.4625612316305108,0.5433621043978627,343,768,4183
0.66,0.8615,0.6680628272251309,0.4464660601819454,0.535234899328859,317,791,4272
0.67,0.86175,0.6780595369349504,0.43037088873338,0.526541095890411,292,814,4362
0.68,0.861,0.6853801169590643,0.4100769769069279,0.5131348511383538,269,843,4484
0.69,0.86075,0.6927784577723378,0.3960811756473058,0.5040071237756011,251,863,4566
0.7,0.86125,0.7047496790757382,0.384184744576627,0.49728260869565216,230,880,4630
0.71,0.8625,0.723202170963365,0.3729881035689293,0.492151431209603,204,896,4684
0.72,0.861125,0.7304347826086957,0.35269419174247724,0.4756960830580462,186,925,4811
0.73,0.860875,0.7445820433436533,0.3365990202939118,0.4636144578313253,165,948,4905
0.74,0.860375,0.754071661237785,0.32400279916025193,0.4532550171316691,151,966,4981
0.75,0.86075,0.772020725388601,0.31280615815255425,0.4452191235059761,132,982,5042
0.76,0.860625,0.7854545454545454,0.30230930720783766,0.43658413340070745,118,997,5103
0.77,0.859625,0.8011811023622047,0.28481455563331,0.4202374806401652,101,1022,5211
0.78,0.858625,0.8104166666666667,0.2722183344996501,0.4075432163436354,91,1040,5291
0.79,0.857375,0.8185840707964602,0.25892232330300907,0.3934077618288145,82,1059,5377
0.8,0.856375,0.8333333333333334,0.244926522043387,0.3785830178474851,70,1079,5465
